text,label
"I wish my ex baby mother would die of cancer. I hate the mentality of the society I live in, I hate the relationship I have with my parents and brothers, the world at it highest platitudes are inherently evil and it’s beyond overwhelming. Drugs and alcohol are my crutches to just mentally get by in this place and I’m okay with that even though I know I shouldn’t be. Just... I dunno fuck this place man. I’m not suicidal or anything but this place is pure trash, the people, and their elected officials are pure trash. I don’t want to be a part of it anymore and I feel like there isn’t a choice in the matter. All I do is work come home to re charge and then work again. And I’m supposed to do this till I basically am too old to properly enjoy my life? Why are we even here? I’d classify my beliefs as Christian and maybe I’m lacking in prayer. But people lack enrichment in their lives and mine especially. Sure we can travel (not anymore really). Sure we have friends and family we can visit (not anymore really), and those are vital to the human experience but there’s this big piece I feel we’re all missing and living half lives without. Not looking for answers I don’t expect any. Just sharing thoughts.",depression
"I'm almost forty. I've been divorced 4 times. I have 3 kids I never see or talk to. I've filed bankruptcy twice. Now finally, after a hard fought battle I've been denied a promotion at work that I earned almost 3 years ago. I REALLY needed this victory. Just one fucking victory. 

I've been made a complete fool of and cheated on time and again. Then I was a spineless worm who crawled back begging for seconds.

I am an alcoholic and I am never happy unless a drink is in my hand.

I've literally fucked every single thing up that I've ever attempted. I'll never be someone who has something to be proud of. Something to be remembered for. A legacy or any of that nonsense. I'll never have money or a nice car...

Just me, my mistakes, and the darkness.

I don't know how much longer I wanna keep playing. I don't want to die... But I don't want to wake up either.",depression
"1 my terrible hygiene 
2 my disregard for anything I know I should be doing 
3 my lack of energy for Anything and I mean Anything 
4 stress acne 
5 talking about my depression for too long
6 pessimism 
7 alcoholism 
8 cannabis-ism (??)
8 bad memory 
9 always late to things
10 eating nothing but chocolate and orange juice (the chaser)
11 lost brain activity that makes me say dumb words from my mouth thing 
12 impulsivity 
13 suicidal ideation 
14 lack of romanticism (even when that is supposed to make things more fun or something according to all of my teenage friends)
15 narcissism 
16 bitterness
17 commitment issues
18 anger issues
19 no passion
20 no interests
21 boring person
22 old stupid annoying boring person 

23 self deprecation",depression
"Five years ago I began to notice that I was beginning to lose control of my moods. This caused a noticeable rift in my marriage and I was determined to nip it in the bud. A doctor put me on Prozac and Xanax and sent me on my way. The Xanax was slowly increased while my tolerance grew. The doctor didn’t think twice about increasing my dose. 2 years on that regiment disaster struck. We lose a beloved pet and a day later my wife had a still birth. 

This tragedy coincided with a change in workplace. New workplace, new insurance. The new doctors wouldn’t prescribe me Xanax and drastically decreased the amount of Prozac I was on. My mood swings, depression and anxiety were at a lifetime high. I turned to alcohol to bridge the gap a lack of Xanax had made. It only made things worse. I began to steal from work to afford black market prescriptions and alcohol binges. Eventually that caught up with me and I was fired. 

Another new job and a raging addiction. It was a matter of months before I moved to hard drugs. In the time that followed I almost died a dozen times. I was arrested, committed, tried to stop, failed every time, and lost another job. My depression was all consuming. It contaminated every memory, every thought, every action. Panic was my baseline mood. I was at bottom with no light in sight. 

I checked into rehab. Therapy 12 hours a day. Daily visits with the doctor. For the first time someone played with my medication. I failed again and again. Relapsing every time a new antidepressant failed to work. I was on the brink of losing my home, my wife, and my daughter. Four different antidepressants later and I was convinced the only option was for me to succumb to my addiction and to let it kill me. 

That was almost a year ago. My last attempt at finding hope laid with a nurse practitioner. 13 different non narcotic anti anxiety medications. 7 antidepressants later. More relapses than I could count and I began to see it. Hope. Slowly I began to feel a little better. I began waking with less and less weight on my mind. My hands ever so slightly taking hold of the wheel. The nurse continued to push, finding just the right cocktail of Medication, therapy, and behavior I needed to keep chipping away. 

Two weeks ago after a five year journey through the darkest part of my life I began to wake up with positivity, with optimism. It no longer felt like I was in line waiting for my life to begin. And the feeling has begun to increase at a rate I never thought was possible. For what feels like the first time in my life I feel like I have control. 

I am not telling this story to brag. I share this for anyone out there who feels like giving up. Who sees no light at the end of their tunnel and would like nothing more to shrivel up into nothingness. I remember being there. The hopelessness, the darkness, the weight of your mind. I remember being an abused passenger of my own thoughts and fears.  I remember being overwhelmed. I remember hating myself more then my worst enemy. But after all that I am alive. And for the first time I am seeing light. My journey is by no means complete and dark days are waiting for me around every corner. But I feel like I am ready to face them. And I am here to say it is possible. 

Depression is a horrible unfair Disease. But I am living breathing proof that there is hope. I love you all.",depression
"Not sure why i feel empty. Not sure what i deserve. I feel lonely at times. Not sure if it's justifiable. Sometimes i go weeks without real social genuine interaction, then i start feeling empty all over again. It's true what that guy said, life is an effort to write your signature on water. Why am i here? For who? I hate having existential crisies at times. I wish all these thoughts in my mind would go away. I wish i could be happy without trying. I don't know what to do at times. I should be extremely grateful but i'm not very privileged like some at the very top. I wish i could be happy without any effort. I wonder if enlightenment is being happy from nothingness. I can see through his bullshit, yet he has 535 million followers from his religion. I'm sure he was living the best life as a prince. You can't be happy from nothing, it's rare. He had everything. How can you go from top to bottom the top again? Life is so strange. I feel so disconnected at times. 

If patience and hard work is key, i guess i'm not following it. I'm impatient at times but i do put in hardwork when needed but the opposite happens to others. Life is strange again. It's full of misery, mystery and suffering. All of this confuses me. I'm glad i didn't go full blown schizophrenic from certain drugs. Very grateful but it's funny how i get more introspective when i'm off cannabis for a week or so, used to do it all the time.

I just want to be happy, but can't seem to fake it. Not a faker, being fake hurts more than depression itself mostly. I wish i wish, i wish a lot of things...",depression
"Before I begin, the title paints my mom in a bad light. She has a different opinion than most my family and does love me, but her opinion tonight reminded me that sometimes that isn’t enough.

So I’m 27, I am a recovering cocaine addict as well as an alcoholic. I have attended rehab, and I am currently doing a little better. I also have severe depression, anxiety, and bi polar 2. 

Tonight we somehow got on the topic of how in Canada, we are entering into a province wide lockdown (Ontario) but essentials are open, this includes beer stores and liquor stores. I made a comment about how, severe addicts might die if they lose their accessibility to the alcohol. And my mom said 

“Good. It’s about time we take it away and get rid of the problem. They chose that path, they can choose to quit if they want to. I don’t agree with that or with safe drug spots.”

I didn’t really argue back, but I instantly was reminded that love isn’t everything... and since that moment (about an hour ago) my depression has been full blown.

Huge chunk of my self worth gone knowing that is my mother’s opinion on people like me.",depression
"I’ve been doing drugs for the past 11 years. I started when I was 16 after breaking my ankle and getting put on painkillers. I’m 27 now. Opiates took away all of the pain, even if only for a while. 2 months ago, I decided to try getting clean again. Same result as always. I’m absolutely miserable. I feel I have no reason to live. I’m living at my parents again, and they control every aspect of my life. I never leave the house. I try to be grateful but I just can’t be happy. I have no way to make the pain go away. I just want my old life back where I was able to work, come home, and blast my brains out with opiates and weed and cocaine and whatever else I could find. I hate being sober and I know it won’t last. People tell me it gets better, but I’ll believe them when, or if, it ever happens. Once I get a job I know I’ll relapse. I just can’t take life without getting high. My parents are trying everything they can, and I wish I could be the person they want me to be... but I just feel like a ghost. I used to be able to look at simple things and feel some sort of gratitude for my life, but now everything is gray. They tell me “you tried to live your life with drugs and it didn’t work.” But it did. Oh boy it did. Yeah I messed up a few jobs, but shit, I guarantee if I weren’t doing drugs and lost my job, their reaction would be totally different. Now they think I should completely surrender my entire ego, my way of coping with life, and my freedom. I just can’t take it anymore. I’m going to relapse as soon as I can. Fuck life without drugs.",depression
"Fuck drugs, I should stop consuming various things specially tobacco, but!LSD just made me realize I need to go to therapy for my own good because this is not life with I am living and there’s a light at the end of the tunnel, and that light has to be a professional. I always say things like “oh yeah I tell my bestfriend/girlfriend everything” but I just made a big ass list about shit I do that I find really unhealthy, cringy, pathetic and downright disgusting but never ever have told anyone that I do them, like checking my ex Instagram three times a day with a fake account, obsessing about who talks with my current girl and what’s she doing all the time (eww, I know), lying about stuff to make myself look more interesting and mature, obsessing about what others might think of me (and obviously they don’t give a shit lol, that’s how’s supposed to be) and the list goes on and on. If I can’t talk about all that shit with even my closest friends and family for fear of getting judged, the perfect person to express all that shit for a first time in my life and hopefully make sense of all those horrible habits and deep rooted traumas IS A PROFESSIONAL, not more drugs/booze and trying to figure things on my own. I need to do it, therapy is important, drugs aren’t going to fix shit, but they might just have helped me to make the first step and seek the professional help I desperately need because deep down myself I know my mind isn’t healthy, I am not enjoying life as I did one time. I can heal, and hopefully I WILL, but only if I overcome the fear and seek professional help ASAP!",depression
"My girlfriend is suffering and it breaks my heart to see her this way, to be quite honest I don’t know how to help. 
She told me she feels completely numb and doesn’t have an interest in anything anymore. 

She won’t take medication and is a cannabis smoker but she doesn’t have an interest in smoking anymore neither, she’s told me she felt completely numb before in the past but that feeling eventually went away. 

Everything was going perfect and we were in a happy relationship when all of a sudden she started sleeping 12-13 hours a day. 

She doesn’t like to talk about her feelings with her family but opens up to me, when I suggested she should get help she declined.

She means the absolute world to me and I miss seeing her happy, She’s my bestfriend and girlfriend. Does anyone have any suggestions?",depression
"My girlfriend is suffering and it breaks my heart to see her this way, to be quite honest I don’t know how to help. She told me she feels completely numb and doesn’t have an interest in anything anymore. She won’t take medication and is a cannabis smoker but she doesn’t have an interest in smoking anymore neither, she’s told me she felt completely numb before in the past but that feeling eventually went away. I miss my best friend and my girlfriend. Does anyone have any suggestions?",depression
"I recently had to fire my shrink...she was unreliable and let a bias from working in a prison negatively affect my treatment. I just couldn't trust her anymore. Now im back to self medication with cannabis and alcohol. I think this may have been the last time that i trust a doctor to help me. I have been through the wringer with shrinks and im honestly at the point where i will take my issues over the disappointment they always provide. 

I have MDD, PTSD, panic/anxiety disorder, severe insomnia, autism, etc.....but i can never find a doc that actually helps....they all just seem to throw random pills at me like a medication dartboard...and it has done more harm than good so far. The fact they never listen to my opinion hasn't helped either....ive done enough research on mental health and medication to get two doctoral degrees, and i know my brain and body pretty well.....but they never listen. They just treat me like a child who knows nothing.

I think im completely done with psychiatry at this point.",depression
"I really Never thought I’d Post This. I’m just crying almost every 2-3 Nights. I Got Depression for 1 1/2 Years. I live with so much fears, which are killing me every fucking day. I have luckily any suicide thoughts since I Met this girl, but my soul is crying, its yelling “I cant anymore” 

I have Been raised up as a normal child. I have a very good education, parents who like me (but makes fun when I paint my Nails black), I had a good childhood....with some regrets, but it was a Great childhood.

But for the Last 1 1/2 Years, everythings going deeper down, I’ve Been doing lately a lot of drugs, like acid, mushrooms, ketamine, mdma and pure mdma crystals. In 4 months I have my final exams After working 2 Years in a shit hotel. (I’m doing an apprenticeship)

But I need help. Please anyone help me. While writing this I’m in tears. I cant anymore. I don’t know what to do. I am so alone eben when I am with my Friends, in a party or in a room Full with people.",depression
"my names Isis which rhymes with crisis and it fits. watching everyone go by day to day is exhausting in itself. I’ve evolved from wanting to be apart of society, yearning for human connection. It’s all made up and fundamentally ridiculous. my depression is like leveling up and never going backward. cocaine is my best friend and I feel like it’s the only thing that gives me an iota of happiness.",depression
"Usually I don’t take things personally and I’m very hard to offend, but this bothers me. I’m in a rough spot right now, I’m unemployed, no vehicle because I don’t have the funds to get mine back on the road, and not a lot of money. I smoke weed because I can afford it and it helps my anxiety and depression tons. Anyways, tonight my mom went off on a tangent and basically called me an addict, and that all I do is smoke weed, sleep all day and I’m not going to get anywhere in life. Well, depression makes finding the energy to get myself help and life together difficult and I know what a shitty situation I’m in but can’t find it in me to get help, I’m so fucking lost.",depression
"My life has never been better, I've been in a relationship for 3 years, probably the best 3 years of my life. 2020 was life changing for me for several reasons. I quit weed, I finally have a stable job (low income so far but it's a good start) and I also rented my first home and moved in with my gf.
But these dark thoughts never leave me. I've been suffering from severe anxiety and depression for many years. I should be happy now, I thought that all these things would make me move on and have a normal happy life. I won't lie I love my girl and she supports me at everything. But still, I'm afraid that some day I'm gonna blow everything up again. I keep living in fear every day. Some days it's mild, it almost doesnt exist. Some other days I even have suicidal thoughts. I don't know if I will ever feel normal. I keep living in constant fear and I dont know what to do to change this.",depression
"  Hey. I’ve been for the last 6 months struggling but successfully getting tapered off benzodiazepines. I have had a couple relapse but got myself all the way back to where I was before each time and I have never been this low of a dose. I’m almost finished. Another 6 month-year to fully recover.

  I’ve been off and on addicted to different drugs throughout my life since I was 16.  I had a good amount of time when I was sober for several years.  Other drugs I started using again during one of my most recent relapses is heroin which I haven’t been around in over 4 years. Haven’t touched an opiate in 4 years. I don’t know what triggered it. But I was dabbling in other stuff just before like cocaine and ketamine and quit those and had intense cravings.

  Anyways, quitting so many things at once led me to saying fuck it and I did heroin for a month. Long enough to of course have to go through physical withdrawal again.. some days I feel like such a loser. I’ve asked old friends (moved back to my old city temporarily) for stuff and they’ve all talked to me pretty rudely said they were clean and to stay away from them. I thought they all were doing the same stuff.  I guess I was wrong..  I left the area I was living just recently cuz my roommates couldn’t handle my benzo detox anymore. Well one of them couldn’t. I live with my boyfriend and his mom and my boyfriend was really supportive but his mom was treating me really bad. I started staying in my room and not coming out at all for like 10 days until my family came to pick me up.

  I guess what started my relapsing into benzos was they were prescribed by my dentist for my back to back appointments and then I got hooked, I finally felt normal. I felt calm and like I could work with society. They led me to really getting hooked and getting them from friends in the area. And I have now been on them for a year, this coming January. I’ve been tapering the last 4-6 months and I’ve come a long way. But now I’ve got to face opiate withdrawal along with benzo withdrawal and I’m just really saddened that I’m in this kind of position again. It makes me cry writing these couple sentences right now. I can’t believe I’m here again.

  I had an art business I was building. I’m an oil painter and I had commissions to do. I didn’t finish any of them and they paid me. I feel like such shit about it. But I’m took sick everyday to even think of painting. My art business was slowly building after 3 years of hard work every single day I started getting 500$ commissions coming in monthly and my stickers and prints sold pretty quickly. I was going somewhere. 

The trigger was leaving a very abusive relationship with a narcissist. I couldn’t cope with the loss and I started taking more and more Xanax. And I felt normal and I just kept doing that.

  Idk what is in store now. My memory is shot from the pills, I can’t drive myself safely from the medications I’m on, I feel like everyone hates me ( I think it’s mostly in my head although I’ve had people treat me poorly) and I’ve lost my brain and stability temporarily for maybe the next year. I can’t sleep regular. I wake up at 5-8pm and my day starts then so my sleep is backwards. That makes me feel really depressed. 

  Can I turn my life around again? I don’t see many ways except keep going with getting off the meds and face the opiate withdrawal again. I tried once it was awful. Worse than I remember before and last time I was on them over a year daily.  Can I really make it again? I’m 25 and I feel like the clock is ticking and I’m losing so much time I could be building my life. 

  I wanna be successful I wanna build my art business again. Is that even possible again? I feel at a dead end. I don’t know who I am now. Idk what I want. I don’t know what to do. I can’t work I can’t drive. I’m literally forced to do nothing because of benzo withdrawal. I wish I could go back. I wish I could make a change. I feel really helpless at times. I think about ending my life multiple times in a week now for the last year. Can my life return to normal? I don’t know.. I just feel so alone.

Here’s some info if you’re not familiar with benzo detox and withdrawal here’s a very great way to understand it I’ve sent this article to friends and family when they have treated me poorly for my lack of ability to do things day to day: https://w-bad.org/family-and-friends-this-ones-for-you/",depression
"I vaped a little bit moldy weed for 3 weeks cuz i was depressed as fuck and had to get high, didnt think it was a big deal at all before i got pheunomia to which i didn’t get antibiotics because i didnt have fever and i thought its worse to get up the bed than go to the doc. Yes im fuckin retard

Now my bones hurt everywhere and i feel like a cancer its literally fucked up im only 23 and i feel like i never ever even lived my life. I was bullied and after that i just kept on sitting on my computer.

Please try to get help and life before its too late like in my miserable case",depression
"I have the worst luck. On god it’s like a year ago I accidentally got on a train and every fucking stop has been awful. 
I lost my dad 
I lost my job
I lost my friends 
I lost my normal
I lost my health 
I lost my want to do things 

Everything just sucks so bad and to make it better yesterday I was told that my dog, who is like the ONLY FUCKING thing keeping me happy, has a giant cancerous lump. Which I don’t have the money to fix. 

But atleast I’ve got the weed subreddit. 
Oh wait no, I got permanently banned from that this morning because I admitted somewhere that I’ve driven high. 

So that’s fine. Atleast I’ve still got the weed, and myself to smoke it with.",depression
"I'm almost 21. ever since i was 16 i have been depressed because of severe bullying, this has caused me anxiety in social situations and to not leave the house much. early on i resorted to using drugs. i progressed from weed into anti depressants (not prescribed just to get to the point where i was a walking zombie fighting the drug) then  into mdma and lots of psychedelics. im passed most of my drug days in my 20s, i have quit my last drug couple months ago. during this period i let myself go, i got fat and avoided most social situations that i didn't use drugs to build the courage to do it.

Now that im off drugs i find it very hard to restart my life. I have lost most of my friends during this process except one who did lots of drugs with me. I now sit at home wondering where i went wrong while everyone i know is out having fun and partying their youth away when i cant even build the courage to get out of the house and meet some new people. 

I live in a small town where once people get to a certain age they leave for the big city. I am currently working in a family business and will inherit this so i cannot move away. most of the people left here are in the grades that bullied me at school so i cannot bond with them well. 

I feel stuck in my isolation &amp; will probably resort to doing drugs again if i cannot get out of it.",depression
"I lost my job because of stress and it’s taken a huge impact on my mental health. I feel like I’m not even living anymore, just floating through life like a fucking ghost. I feel numb but deeply sad at the same time I’m always on the verge of tears. I’ve told my friends about it but they don’t understand it, I’ve seen my psychiatrist and gone through so many medications in three months which none ever had an effect on me. Counseling doesn’t help, nothing does and I’ve come to the conclusion that I’m always going to feel like this. I don’t have the energy for anything or anybody anymore. I’ve pushed all my friends away, all I do is stay inside and self medicate by smoking weed all day/night long just to get through this depression funk. I don’t know what to do anymore. I’m not suicidal but this isn’t any kind of life I’m living. I’m just wasting away.",depression
"if i have depression or not. im 18 male. (sry for bad english) Im tired all the time and exhausted. I cant go to bed early ever. my appetite has gotten worse. I feel super anxious sometimes specially in school and when im alone in public places. like going to a store i just start sweating and i feel like everyone is staring at me. i have suicidal thoughs sometimes. im just sad all the time except when im high. i smoke weed. i dont care about anything like nothing impresses me anymore. all days feel like they are the same. except on weekends im happy if i go smoke aloke or with my friends. i just dont generally give a shit about anything or doing anything other than playing videogames, being on my phone, smoking or listening to music. i just want to lay in bed all day and watch netflix. im so stressed about my future all the time and i overthink so much.",depression
Has getting completely sober helped your depression? Trying cutting off all weed alcohol and cigarettes,depression
"Hello everyone,

I am a 26 year old guy going through a tough time. I have a weak physique and have abused substances for the last 7 years. I smoked a lot, drank a lot and smoked up. . In my head since I had faked it all but hadn't realised. By this I mean that I had just buried many incidents and wasn't aware of it in my waking life. The odd thing is that since we were suffering financially I had to act strong and tough which I did. I acted like an adult but when I did become an adult I acted like a child. This created serious problems in my college life. I noticed at the end of it that I had become hurtful and disrespectful to others since there was deep pain inside which I had never dealt with. 

Now things aren't interesting anymore. Nothing interests me, because of the substance abuse I have hurt my body a lot. I have pain all throughout my body and have also gone through a mild phase of PIED, or something similar. I have crazy image issues because of something that happened multiple times over my school life. This created such issues that even when women wanted to talk I would just run away. Now I feel bad for myself on a daily basis but I am trying. 

I don't have anyone to talk to. And the ones i had i have blocked them all because it has become hard to trust anyone. I once wrote about the abuse in a set of few pages and i left the pages in a person's house and then of course they were leaked. Just before that i was in this metro city where i became quite lonely and used to frequent sex workers, all my vices and ""sins"" were leaked and i was harrassed on an unprecedented level. A college official used to come to my hostel and talk to my hostel mates right below my window. There were noises everywhere, and I somehow managed through it using my anger. Now those nights just haunt me because sometimes I feel till when. I get it I might have messed up my college life, but what about my childhood, i didn't really have control over what was being done. 

And it is my childhood that ruined my college life. I find it all too funny now. Life is just a good joke. Bmi really want to leave my country and go to someplace where no one knows me.",depression
Been self medicating with cocaine and ecstasy for years been off them for 3 months and never felt so depressed,depression
"I'm a drug addict who suffers with bipolar. I'm a hard-core substance abuser. I clear my drug debts and then I rack them straight back up. I have nothing, but a shitty finance car. I have no job. My mother does drugs with me and she ends up paying all my drug debts. Then her boyfriend comes on the weekend and he pays for all the drugs, the cycle never ends. Then I'm ticking/borrowing drugs and racking up debts. When I'm sober, my bipolar is out of control. The mania is insane. I'm on fluoxetine. I'm not professionally diagnosed, I've waiting for the psychiatric to diagnosis me. Self diagnosing is not good. But the doctor even says I am and has booked the referral. But because of the fluoxetine, I'm getting extremely manic. My eyes get so dilated. Like today, I had to get rid of my cat, because it kept shitting in my room. Which it never use to do. I took it to a rescue place. I was so manic. I was singing to my cat. Driving without a care. Then when I said my goodbyes. I put some music on and start doing manic rapping like a completely unhinged person. Then I got home, listened to podcasts. WAS ABSOLUTELY MISERABLE. The manic was gone. I was lying face down on my bed. Listening to the Magnus Archives. Then I speak to my mom and I get drugs. We do them. I'm in and out driving back and forth to my dealer. Getting drugs, doing them in the kitchen. Driving coked off my head back and forth. Now I'm sitting here typing this. My mom is paying one of my dealers debts off this Friday coming. I feel like such a shit person, I'm wrecking mine and my mothers life. She is a addict and so am I. I take my little brother to school and I'm not the nicest of people. He suffers with autism and adhd and I lose my temper, to the point I have to make him sit in the backseat and I have to wear eardefenders because he touches everything and says all things to make me tick. It's just a endless cycle. It all went down south ever since I met cocaine and lost my job because I got drug tested. Ever since that I'm just a miserable piece of shit. I'm 24 years old, receding hairline i weigh 220 pounds because I constantly binge eat. I'm a shell of a person and if I did have the courage to kill myself. I would of definitely done it by now and you wouldn't be reading this. I've tried walking through parks, abandoned exploration, seeing sights, I recently got a dog. Soon I plan to take her for walks, when she's old enough. (She's a puppy.) All my family know I'm a unhinged bomb which could explode any minute. My mom does everything for me, I could atleast treat her better. But mental health runs through my family. It's like nothing gets through to each and one of us. I have a auntie who is a narc and I use to live with my aunt and grandmother, she forced me to get credit cards and I don't even live with her now. I live with my mom. She uses my credit cards. I've never used the fucking card once. She's brought sofas and fucking god knows what else. But she does pay it off. But that's not the point. I had a argument with her the other day saying I want the cards payed and you to fuck off out my life. My auntie took everything off her mom. Her home. Everything she ever worked for. But that's another story.

I think about just slicing my arm sometimes, deeply just not thinking about it and just thrushing it straight through. I'll probably call the ambulance because then I would realise I don't want to die. But these thoughts come and go. Sometimes I just want to yank my steering wheel into a lamppost. Not another driver that would be selfish. But the lamppost can be fixed surely. Sometimes I just want to go to a store where you buy all materials, doors and kitchen appliances. Just buy a rope and Google how to make a slipknot, buy a bottle of vodka, take all my antidepressants. Obviously before setting up the rope. Once I've taken all them tabs, down that vodka furiously. I know I'm going to die then. So just fucking jump on that rope and end this nightmare. 

That paragraph are my constant thoughts. I've self harmed before. But never majorly. I headbutted a glass panel through before. That was probably the worst thing I done. I drank a whole bottle of bacardi. Boosh! Head through this glass panel. Ear hanging off and head split open. Glass in my head. I even rung a fucking taxi. You should of seen the taxi drivers reaction. Like me casually asking him to take me to the hospital. I pay him the fair. Arrive at the hospital. Blood dripping all down me. I don't even have to book myself in, or sit down and wait. (This was near beginning corona). The nurse took me straight in. I was highly intoxicated and was sarcastically making jokes about what happened. I said someone bottled me because I didn't want to admit I done such a thing. They stitched me up, I have a scar now I'm just forehead and my hair is usually shaved. So it's noticeable. I got sent home. I had no money I paid a random guy to take me home. Got home. Took off my bandage and popped open a beer. 

This is all purely venting, I clearly don't want to die. But I feel like I'm slowly reaching the inevitably of actually doing what my mind is telling me to do. 

My life is like the lyrics of Hotel California.

You can book yourself out but you can never leave.",depression
"Just some background, I've been dealing with a horrible depression since high-school (24 now) and I've tried everything to get rid of it. I've been in good shape, I've improved my diet, I've improved my sleep schedule and while these things did definitely help, nothing got me quite over the Hump. I still felt depressed, moody, unmotivated in social life and in school. For the past year I started taking antidepressants, and eventually I got all the way up to the highest dosage (200mg), and while this made more functional and generally more apathetic to the bad feelings (and rhe good ones too), I still wasn't content. All it did was reduce my capacity to feel anything and I dont want that kind of life tho it was an improvement over my life previously where my mind constantly tortured itself. So anyways somebody gave me shrooms and when I did that, i noticed a weird shift in my mood. I did low doses for awhile but I felt a lot more ""in the moment"" i didn't feel like a zombie dragging his feet barely receptive to the stimulus around me, I felt way more engaged for once. Anyways I took low doses for awhile, and the I decided to take a much bigger one and that has made things even better. I feel so much more resilient, Its been so much easier to lose weight which I had gained so much from being on antidepressants and I just feel more in the moment and content.

Now I won't say that its fixed everything, I still have stuff to work on but to those of you who are struggling with depressions, I would definitely recommend if you can.

If this option isn't available to you, I've found a few things that markedly improved my functionality in dealing with my pretty severe depression. 

1. Spinach. Just wilt it in a pan, even a little would do, and eat it with meat or whatever to get it down. Its practically medicine, I definitely a bigger pep in my step when I have ate some spinach. Add other vegetables to for even better effects here.

2. Antidepressants. If you were like me and can barely get out of bed, I recommend getting antidepressants (i took 200mg of sertraline). While it does just make you apathetic, I felt so much more able to accomplish what I needed and made sleeping a lot more easier to do when anxiety isn't so present. 

1+2 together can make a very significant change in life. 

3. Stand with your back straight, neck more aligned and not haunched over. This does a bit to help you think I've found. There have been studies on it and id recommend looking into this particularly if you need help socializing. 

So yea, I just wanted to share my journey with depression, hopefully this can be useful to those of you who have been stuck in similar positions",depression
"No friends, no female companionship, no holding hands, no cuddling, no kissing, no sex, no interest in video games, no interest in movies, don't want to do anything or go anywhere (not even an option with lockdownds) nobody texting me to ask how i am, can't drink alcohol (it makes me ill) trying to quit weed, just stone cold sober left dealing with this nothingness of a life. What's the fucking point of living??? I wanna know.",depression
